Date Local,Site Num,Arithmetic Mean,AQI,Latitude,Longitude
2023-10-31,4002,4.46,,35.050918,-85.293019
2023-11-01,4002,6.8125,,35.050918,-85.293019
2023-11-02,4002,18.804167,,35.050918,-85.293019
2023-11-03,4002,20.06087,,35.050918,-85.293019
2023-11-04,4002,26.666667,,35.050918,-85.293019
2023-11-05,4002,14.1,,35.050918,-85.293019
2023-11-06,4002,27.795833,,35.050918,-85.293019
2023-11-07,4002,19.795833,,35.050918,-85.293019
2023-11-08,4002,17.375,,35.050918,-85.293019
2023-11-09,4002,13.379167,,35.050918,-85.293019
2023-11-10,4002,7.9,,35.050918,-85.293019
2023-11-11,4002,6.329167,,35.050918,-85.293019
2023-11-12,4002,10.270833,,35.050918,-85.293019
2023-11-13,4002,11.295833,,35.050918,-85.293019
2023-11-14,4002,12.233333,,35.050918,-85.293019
2023-11-15,4002,8.75,,35.050918,-85.293019
2023-11-16,4002,7.1,,35.050918,-85.293019
2023-11-17,4002,7.308333,,35.050918,-85.293019
2023-11-18,4002,8.191667,,35.050918,-85.293019
2023-11-19,4002,6.995833,,35.050918,-85.293019
2023-11-20,4002,9.2375,,35.050918,-85.293019
2023-11-21,4002,5.120833,,35.050918,-85.293019
2023-11-22,4002,3.930435,,35.050918,-85.293019
2023-11-23,4002,10.404167,,35.050918,-85.293019
2023-11-24,4002,8.1625,,35.050918,-85.293019
2023-11-25,4002,11.295833,,35.050918,-85.293019
2023-11-26,4002,12.016667,,35.050918,-85.293019
2023-11-27,4002,7.133333,,35.050918,-85.293019
2023-11-28,4002,5.116667,,35.050918,-85.293019
2023-11-29,4002,9.670833,,35.050918,-85.293019
2023-11-30,4002,17.225,,35.050918,-85.293019
2023-12-01,4002,15.920833,,35.050918,-85.293019
2023-12-02,4002,11.058333,,35.050918,-85.293019
2023-12-03,4002,3.966667,,35.050918,-85.293019
2023-12-04,4002,7.2625,,35.050918,-85.293019
2023-12-05,4002,7.2625,,35.050918,-85.293019
2023-12-06,4002,5.283333,,35.050918,-85.293019
2023-12-07,4002,9.7375,,35.050918,-85.293019
2023-12-08,4002,17.004167,,35.050918,-85.293019
2023-12-09,4002,11.3875,,35.050918,-85.293019
2023-12-10,4002,3.720833,,35.050918,-85.293019
2023-12-11,4002,5.316667,,35.050918,-85.293019
2023-12-12,4002,9.378261,,35.050918,-85.293019
